Question,Answer,,Question,Answer,,Question,Answer
"DHMO.org is a tongue-in-cheek website that exposes the dangers of dihydrogen monoxide,better known as what?",WATER,,Tom Hanks received an Oscar nomination for his work in all but which of these films?,THE GREEN MILE,,Which of these U.S. states have postal abbreviations that contain the same two letters?,ALABAMA AND LOUISIANA
"Diets that incorporate the eating habits of Greece,Spain and Italy are fittingly referred to as what?",MEDITERRANEAN,,Tonic water is distinctively flavored because it contains what chemical?,QUININE,,"Which of these U.S. states is home to the Chocolate Mountains, rumored to contain vast amounts of gold?",CALIFORNIA
"Directed by Jack Nicholson,”The Two Jakes” is the critically-panned sequel to what acclaimed film?",CHINATOWN,,Torts is a common first-year course for students in what professional school?,LAW,,Which of these U.S. states is located east and not west of the Mississippi River?,ILLINOIS
"Discovered 2.2 miles under the ground,the deepest living animal was given what appropriate nickname?",DEVIL WORM,,Tourists intending to visit the capital city of San Jose would receive the best travel advice from what guide book?,LET’S GO COSTA RICA,,Which of these U.S. states is located entirely in the Eastern time zone?,OHIO
"Displayed on all their farming equipment, what are the trademark colors of the John Deere brand?",GREEN AND YELLOW,,"Traditional Requiem Masses often include a sequence called the “Lacrimosa,” a Latin term meaning what?",TEARFUL,,Which of these units of measurement comes in standard “statute” and slightly longer “nautical” versions?,MILE
"Doctors advise pregnant women to consume sufficient amounts of Vitamin B9, known as what?",FOLIC ACID,,"Traditionally made with a base of olive oil,Castile soap is named for a region of what country?",SPAIN,,Which of these vegetables is actually a miniature variety of cabbage?,BRUSSELS SPROUTS
Doctors listen for “Korotkoff sounds” when they check what?,BLOOD PRESSURE,,"Traditionally made with fried seafood,a po’ boy is a sandwich associated with what U.S. city’s cuisine?",NEW ORLEANS,,Which of these vegetables is also known as the “Mexican turnip”?,JICAMA
"Dolittle,Strangelove and Zhivago are surnames of classic movie characters who share what distinguished title?",DOCTOR,,"Traditionally served on New Year’s Day,Hoppin’ John is a popular Southern side dish made with what type of bean?",BLACK-EYED PEAS,,Which of these vegetables is commonly referred to as a “spring onion” or “green onion”?,SCALLION
"Donning a sizeable gray-ribboned hat, who performed “My Country Tis of Thee” at Barack Obama’s inaugeration?",ARETHA FRANKLIN,,"Traditionally worn by geishas and sumo wrestlers,geta are wooden footwear from what country?",JAPAN,,Which of these vehicles often lacks handlebars?,UNICYCLE
Doppler is the team mascot of what WNBA franchise?,SEATTLE STORM,,"Traditionally worn by golfers, “plus fours” are a type of what?",PANTS,,Which of these verbs has a past tense form that is also a word for a type of woman’s shoulder scarf?,STEAL
Doppler is the team mascot of what WNBA franchise?,SEATTLE STORM,,"Traditionally, quarterbacks yell which of these words to their center when they want to start a play?",HIKE,,Which of these wars took place during the nineteenth century?,U.S. CIVIL WAR
"Drawing 3 million visitors over 24 days,what U.S. state reportedly hosts the most attended state fair in the country?",TEXAS,,"Traditionally, what member of a wedding party is in charge of “bustling” the bride’s gown?",MAID OF HONOR,,Which of these was not a member of the original cast of “Saturday Night Live”?,BILL MURRAY
Dresses whose hemlines are short in front but long in back are known by what hair-inspired term?,MULLET DRESS,,"Traditionally, which of these professionals is most likely to wear a skirt made of tulle?",BALLERINA,,Which of these web sites requires visitors to give a DOB before entering?,GREYGOOSE
Drip irrigation systems perform roughly the same function as which of these gardening implements?,LAWN SPRINKLER,,"Traditionally,s’mores are made by sandwiching chocolate and marshmallows between what?",GRAHAM CRACKERS,,Which of these websites features often-annoying pop-up text balloons officially dubbed “Annotations”?,YOUTUBE
Drivers traversing the Golden Gate Bridge are afforded picturesque views of what famous island?,ALCATRAZ,,"Traditionally,the U.S. Congress takes a month-long recess during what month?",AUGUST,,"Which of these websites is not about a Founding Father, but the home page of a major insurance company?",JOHNHANCOCK.COM
"Dropping from a size 16 down to a size 6, what actress was spokesperson for Weight Watchers in 2010?",JENNIFER HUDSON,,"Traditionally,which wedding anniversary is considered the “Diamond” anniversary?",60TH *CORRECT*,,Which of these well-known nicknames is not commonly used to refer to a former U.S. President?,THE DONALD
Drugs known as “beta blockers” are commonly prescribed for which of these conditions?,HYPERTENSION,,"Translating to “Fashion Dispatch,” what 80s band took its name from a French fashion magazine?",DEPECHE MODE,,Which of these well-known nursery rhymes prominently features an insect?,LITTLE MISS MUFFET
"Dubbed “The Angriest Man in the World,” viral video star Jack Rebney is better known as what?",WINNEBAGO MAN,,Trial lawyers often refer to the false expectation that a witness will confess under cross-examination as what?,PERRY MASON SYNDROME,,Which of these well-known songs is an example of a sea chanty?,BLOW THE MAN DOWN
"Due in part to the city of Hershey,what U.S. state is the country’s leading producer of chocolate?",PENNSYLVANIA,,TV and movie character Peewee Herman is known for wearing which of these fashion accessories?,RED BOW TIE,,Which of these well-known TV dads was played by an actor who had the same first name as his character?,TONY MICELLI
"Due to his line of work, what notable American is often referred to by the press as “The Reverend Al?”",AL SHARPTON,,"TV journalist Jane Pauley is married to Garry Trudeau, a cartoonist best known for what strip?",DOONESBURY,,Which of these winged creatures is not featured in the U.S. postal stamp series “Pollination”?,EAGLE
"Due to his real-life first initial, the actor known for playing Mini-Me in the Austin Powers films has what nickname?",MINI-V,,TV personality Ross Matthews first rose to fame as “Ross the Intern” on what TV host’s show?,JAY LENO,,Which of these women has never been married to Tom Cruise?,Nicole Kidman
"Due to its deep and powerful sound,what brass instrument is traditionally the only one of its kind in an orchestra?",TUBA,,"Twenty-five times the size of the Bonneville Salt Flats, the Salar de Uyuni Salt Flats are located where?",BOLIVIA,,Which of these women helped created the “Parental Advisory Labels” found on albums with explicit content?,TIPPER GORE
"Due to its history, New York’s Ellis Island is home to a museum focusing on what subject?",IMMIGRATION,,Two siblings born to the same mother less than a year apart are often cheekily described as what?,IRISH TWINS,,"Which of these words comes from a Latin term meaning, “almost an island”?",PENINSULA
"Due to its immense popularity with the Chinese,what U.S. state was the first to open its own tourism office in China?",NEVADA,,Two words that have directly opposite meanings are called what?,ANTONYMS,,Which of these words contains an umlaut?,DOPPELGANGER
"Due to its low rate of obesity,what state is consistently labeled the “skinniest” in the U.S.?",COLORADO,,"Typically flavored with caraway seeds, which of these spirits derives its name from the Latin for “water of life”?",AQUAVIT,,Which of these words contains an umlaut?,DOPPELGANGER
"Due to its political content, which of these comics was often published in newspapers’ op-ed sections?",THE BLOOMDOONS,,"Typically flavored with caraway seeds,which of these spirits derives its name from the Latin for “water of life”?",AQUAVIT,,Which of these words derives from the belief that mental illness is influenced by the moon?,LUNATIC
"Due to its presumed power over backsliding vegetarians,which of the following has been labeled a “Gateway Meat”?",BACON,,"Typically marking the end of a conversation,the Spanish phrase “Vaya con Dios” means what in English?",GO WITH GOD,,Which of these words does not form an English word when the suffix “-ster” is added to it?,PUSH
"Due to its rich history,what area of the world is popularly known as the “cradle of civilization”?",MESOPOTAMIA,,"Typically preferring to wade rather than swim, which of these birds does not have webbed feet?",CRANE,,Which of these words features all five vowels in alphabetical order?,FACETIOUS
"Due to its strict obscenity laws, which of these countries once published a version of “Playboy” without any nudity?",INDONESIA,,"Typically served as a Southern side dish,spoonbread is a pudding-like bread with what ingredient?",CORNMEAL,,Which of these words features four consecutive letters in alphabetical order?,UNDERSTUDY
"Due to its unique chemical qualities, which of these foods can remain edible for centuries if sealed from moisture?",HONEY,,U.N. Lifts Beluga Ban was the headline for a 2010 news story about international restrictions on what luxury item?,CAVIAR,,Which of these words features four consecutive letters in alphabetical order?,UNDERSTUDY
"Due to licensing costs, what singer’s version of “Love and Marriage” is not on “Married…With Children” DVDs?",FRANK SINATRA,,"U2’s hit song “Vertigo” begins with the line “Uno,dos,tres,catorce,”,spanish for one,two,three” what?",FOURTEEN,,"Which of these words features the chemical symbols for sulfur, gold, and sodium?",SAUNA
"Due to shifts in the Mississippi River,in 2010 Minnesota had to “return” two islands to what neighboring state?",WISCONSIN,,"UGG, a trendy brand that specializes in sheepskin boots, originated in what country?",AUSTRALIA,,Which of these words is a fancier way of saying a “lie”?,MENDACITY
"Due to Spanish naming conventions,which of these artists was born with a name that was 20 words long?",PABLO PICASSO,,"Unaware he was starting an Internet fad,in 2007 Charlie Schmidt posted a YouTube video of his cat Fatso doing what?",PLAYING A KEYBOARD,,Which of these words is derived from the popular name of a notorious London mental institution?,BEDLAM
"Due to the appearance of the numbers, what poker hand is slangily known as “snowmen”?",PAIR OF EIGHTS,,"Under European Law,bottles of “traditional balsamic vinegar” can only be produced in two provinces of what country?",ITALY,,Which of these words is derived from two Greek roots meaning “self” and “write”?,AUTOGRAPH
"Due to the popularity of Harry Potter, what word was added to the Oxford English dictionary in 2003?",Muggle,,"Understood by folks familiar with the metric system,what day always falls within “National Metric Week”?",OCTOBER 10TH,,"Which of these words is often seen on Nintendo’s Web site,but never in Merriam-Webster’s dictionary?",WII
"Due to the way the player’s legs move,the difficult soccer maneuver known as a “scissors kick” is also called a what?",BICYCLE KICK,,"Unhappy with the 2010 Nobel Peace Prize award,what country launched its own “Confucius Peace Prize”?",CHINA,,Which of these words means both “to stick together” and “to split apart”?,CLEAVE
"Due to their decorative trim, what type of automobiles popularized the nickname “woodies” in the ’60s?",STATION WAGONS,,"Unimpressed by cupies, split lifts and basket tosses, a federal judge ruled in 2010 that what is not a sport?",CHEERLEADING,,Which of these words means “dramatic” or “theatrical?”,HISTRIONIC
"During deep sleep, a healthy adult’s brain emits which of these kind of waves?",DELTA,,"Until 1834, John Jacob Astor was America’s most successful businessman in what industry?",FUR,,Which of these words once referred to hoods worn by French nobles?,CHAPERONE
"During her 2010 SNL monologue,Betty White quipped that what website sounded like “a huge waste of time”?",FACEBOOK,,"Until 1949,regular packs of chocolate M&Ms included which of these colors?",VIOLET,,Which of these world leaders is a graduate of the University of Leipzig?,ANGELA MERKEL
"During his illustrious career, Romanian-born Bela Karolyi coached 9 Olympic champions in what sport?",GYMNASTICS,,"Until his abrupt dismissal in 2011, John Galliano had been head designer of what fashion house since 1996?",CHRISTIAN DIOR,,Which of these would be an appropriate response to the Spanish question “Que tal?”,MUY BIEN
"During his presidency, Bill Clinton added which of these amenities to the White House?",JOGGING TRACK,,"Until it was discovered to be toxic, asbestos was commonly used in buildings to guard against what?",FIRE,,Which of these would be an appropriate response to the Spanish question “Que tal”?,MUY BIEN
"During Kabbalah study,what music star prefers to go by her Hebrew name “Esther”?",MADONNA,,"Updated in 1997 to honor Princess Diana, “Candle in the Wind” was originally a tribute to what actress?",MARILYN MONROE,,Which of these years will be a leap year?,2012
"During the 2010 BP oil spill, oil gushed into the Gulf of Mexico for a total of how many days?",86 days,,"Upon his arrival in D.C. in 2011, what newly-elected senator moved in with his congressman father Ron?",RAND PAUL,,"Which of these ’80s movies did not star both “Coreys,” Haim and Feldman?",LUCAS
During the Depression.impoverished people built tent cities and shantytowns known by what “presidential” nickname?,HOOVERVILLES,,"Upon losing the Tour de France in 2010,what athlete declared, “I wasn’t fast enough in the end”?",LANCE ARMSTRONG,,Which of these ’80s sitcoms did not feature a live-in housekeeper as one of its main characters?,GROWING PAINS
"During World War I,what country introduced a fleet of submarines known as “U-boats”?",GERMANY,,"Upon the cancellation of “Ugly Betty,” what actress joined the cast of “Desperate Housewives” in 2010?",VANESSA WILLIAMS,,Which of these ’90s movies shares a main character with the best-selling novel “Hannibal Rising”?,THE SILENCE OF LAMBS
"During WWI,butter often had to be imported from the Netherlands to France to create what aptly named sauce?",HOLLANDAISE,,"Urushiol,a toxic resin,causes the typical rashes and itchiness associated with which of these plants?",POISON IVY,,Which of these ’90s romantic comedies did not star Tom Hanks and Meg Ryan?,FRENCH KISS
Dwight Eisenhower renamed the presidential retreat “Camp David” in honor of who?,HIS GRANDSON,,"Used for centuries to make gunpowder and cure meats, potassium nitrate is commonly called what?",SALTPETER,,Which of these “colorful” characters does not appear in the 1992 movie “Reservoir Dogs”?,MR.GREEN
"E is for “Everyone,” T is for “Teen” and M is for “Mature” are standard ratings for which of the following?",VIDEO GAMES,,"Used in a variety of dishes,garam marsala is a blend of ground spices commonly used in what cuisine?",INDIAN,,Which of these “old” cities shares its name with a popular brand of Mexican food products?,OLD EL PASO
"Each May, what European country observes National Windmill and Pumping Station Day?",THE NETHERLANDS,,"Used in airports to detect sick passengers,thermal scanners measure a person’s what?",TEMPERATURE,,Which of these “Real Housewives” installments was canceled after only one season?,"WASHINGTON,D.C."
"Each of these 2010 films is primarily set in the state of Massachusetts, except for which?",UNSTOPPABLE,,"Used to describe a carefree lifestyle, “bohemian” refers to an area in what modern day country?",CZECH REPUBLIC,,"Which pair of Santa’s reindeer derive their names from the German words for “thunder” and “lightning,” respectively?",DONNER AND BLITZEN
"Each year since 1993, the coveted T.S. Eliot Prize has been awarded to a writer of what?",POETRY,,"Used to describe something petty or of little value, the word “picayune” once referred to a type of Spanish what?",COIN,,Which planet is often called the earth’s twin because it is nearly the same size in diameter?,VENUS
"Each year, the Bram Stoke awards are presented to writers of what literary genre?",HORROR,,"Used to gauge stock market performance, the Dow Jones Industrial tracks how many companies?",30,,"Which popular reality show is based out of the island town Unalaska,Alaska,better known as “Dutch Harbor”?",DEADLIEST CATCH
"Each year, the South Pole experiences how many months of total darkness?",6,,"Used to indicate academic honors, the Latin phrase “magna cum laude” literally means what?",WITH GREAT PRAISE,,Which retailer donates 5 percent of its income–about $3 million per week–to community outreach programs?,TARGET
"Each year,the Bram Stoker Awards are presented to writers of what literary genre?",HORROR,,"Used to make rope,sisal fiber is a common material also found in which of these sporting goods?",DARTBOARD,,Which sports position is assessed using a “passer rating” that incorporates “completion percentage” and “yards per attempt”?,QUARTERBACK
Earl Grey tea gets its distinctive flavor from the oil of what citrus fruit?,BERGAMOT,,"Used to mean “finishing strong,” the phrase “sticking the landing” comes from what sport?",GYMNASTICS,,Which treat was the indirect result of a failed attempt by its inventor to make synthetic rubber?,CHEWING GUM
"Earning its lead actor an Oscar, the 1968 drama “Charly” is based on what science fiction novel?",FLOWERS FOR ALGERNON,,"Used to provide structure to connective tissue,what is the most abundant protein in the human body?",COLLAGEN,,Which type of nut puts the “rocks” in Haagen-Dazs’ Rocky Road ice cream?,ALMONDS
Echolocation is a scientific process that determines the location of objects by using what?,SOUND,,"Used to refer to a computer’s unique location in cyberspace, “IP address” is short for “internet” what?",PROTOCOL ADDRESS,,"Which writer captured the essence of Transcendentalism thinking with an 1841 essay that advised, “Trust thyself”?",RALPH WALDO EMERSON
"Editor-in-chief of Men’s Health magazine,David Zinczenko is the best-selling author of what diet book?","EAT THIS,NOT THAT",,"Used to test vision,the Snellen eye chart typically has what bold,single letter in the top row?",E,,Which “Dancing With the Stars” professional shares their name with a well-known brand of vodka?,KARINA SMIRNOFF
Eduardus and Ursus and Christophorus Robinus are two characters in a Latin version of what classic kids’ story?,WINNIE-THE-POOH,,"Using its local specialty, in 2009 the city of Portland, Maine created a 61-foot long what?",LOBSTER ROLL,,Which “Desperate Housewives'” actress’s first name is also a noun meaning “happiness”?,FELICITY HUFFMAN
"Edward Michael Grylls, rugged host of the Discovery Series “Man vs. Wild,” goes by what nickname?",BEAR,,"Usually a male role,Prospero is played by Dame Helen Mirren in the 2010 film of what Shakespeare play?",THE TEMPEST,,"While a fisherman hauls in the catch, what is the name for the person who sells it?",FISHMONGER
Eirik Thorvaldson was a famous Viking explorer who is better known by what hair-inspired nickname?,ERIC THE RED,,"Usually associated with pirates,the “Jolly Roger” is a distinctive what?",FLAG,,"While campaigning,what U.S. president appeared on “Laugh-In,” delivering a deadpan “Sock It To Me?”",RICHARD NIXON
Ellen DeGeneres typically kicks off episodes of her popular daytime talk show by doing what?,DANCING,,"Usually considered a minor injury, what is the medical term for a common bruise?",CONTUSION,,"While First Lady,Nancy Reagan regularly enlisted the help of Joan Quigley,a San Francisco what?",ASTROLOGER
Emeralds contain small amounts of chromium that cause them to have what characteristic color?,GREEN,,"Usually either white or brown,the shell color of chicken eggs is determined by which of these factors?",THE BREED OF HEN,,"While in office,which of these U.S. presidents donated his entire salary to charity?",JOHN F. KENNEDY
"Emirates Airlines, the largest carrier in the Middle East, is headquartered in what city?",DUBAI,,"Usually referred to by his first name,the Renaissance artist Michelangelo had what surname?",BUONARROTI,,"While Johnny Cash famously sang about “A Boy Named Sue,” what oldie features a lyric about “a gal named Sue”?",TUTTI FRUTTI
"Enabling it to go for weeks without food,a camel’s hump is primarily used to store what?",FAT,,Varieties of what beauty aid are often advertised as being “acetone-free”?,NAIL POLISH REMOVER,,"While on the job,which of these sports stars often uses a black finish Louisville Slugger C271?",ALEX RODRIGUEZ
"Ending the careers of many a pro baseball player,which of these injuries affects the shoulder?",ROTATOR CUFF TEAR,,Vendors at Seattle’s Pike Place Market are world famous for doing what?,THROWING FISH,,Who are the three “Heathers” in the cult 1989 movie of the same name?,HIGH SCHOOL GIRLS
"Endorsed by celebs like Jessica Simpson and Katy Perry,Proactiv is a what?",ACNE TREATMENT,,Viral conjunctivitis is a highly contagious eye infection better known as what?,PINK EYE,,Who are “The Twitter Guys”?,EVAN WILLIAMS & BIZ STONE
"Engineered by scientists, the broccoflower is what type of edible?",VEGETABLE,,"Visible even with the naked eye,which of these planets is brightest in the evening sky?",VENUS,,"Who created the SNL character Sally O’Malley,a 50 year-old who loves to “kick,stretch and kick!”?",MOLLY SHANNON
Entertainment Weekly’s 2008 list of “Horrible Movie Accents” included Tom Cruise’s Irish brogue in what film?,FAR AND AWAY,,"Voiced by Johnny Depp, the title character in the 2011 animated movie “Rango” is what kind of desert creature?",CHAMELEON,,Who designed the famous black and red dress worn by Michelle Obama the night of the 2008 election?,NARCISCO RODRIGUEZ
"Equivalent to 20 bottles, which of these large bottles of champagne holds the greatest volume?",NEBUCHADNEZZAR,,"Voiced by Johnny Depp,the title character in the 2011 animated movie “Rango” is what kind of desert creature?",CHAMELEON,,Who designed the iconic pink suit worn by Jackie Kennedy the day of her husband’s assassination?,COCO CHANEL
Eric Clapton wrote the classic hit “Layla” as a love song to what rock star’s wife?,GEORGE HARRISON,,Walt Whitman’s poem “When Lilacs Last in the Dooryard Bloom’d” was written as an elegy for what notable American?,ABRAHAM LINCOLN,,"Who holds the record for the longest Senate speech, spending 24 hrs attacking a famous Civil Rights bill?",STROM THURMOND
Erin Andrews earned the apt nickname “America’s Sideline Princess” as a reporter for what network?,ESPN,,"Walter and Cordelia Knott, founders of Knott’s Berry Farm, introduced what berry in the 1930s?",BOYSENBERRY,,"Who holds the record for the longest Senate speech,spending 24 hours attacking a famous civil rights bill?",STROM THURMOND
Espadrilles are a type of what?,SHOES,,Washing a dog in tomato juice is a traditional home remedy for what?,REMOVING SKUNK ODOR,,Who is Alberto Contador?,2010 TOUR DE FRANCE WINNER
"Especially used at airports,SPDT is a security program that stands for “Screening of Passengers by” what?",OBSERVATION TECHNIQUES,,Web sites like WallStreetJournal.com charge for some of their content by keeping it behind a so-called what?,PAY WALL,,"Who is Berry Gordy, Jr.?",MOTOWN RECORDS FOUNDER
"Established in 1867, the Marquess of Queensberry Rules set the modern framework for what sport?",BOXING,,"Well-known to sailors in the tropics,winds that blow steadily from east to west and toward the equator are called what?",TRADE WINDS,,"Who is credited with the memorable quip “In the future,everyone will be world-famous for fifteen minutes”?",ANDY WARHOL
"Established in 1954, what Rhode Island city hosts a well-known jazz music festival every summer?",NEWPORT,,"West Point,the oldest military academy in the United States,is located on the bank of what river?",HUDSON,,Who is Curtis Stone?,AN AUSTRIAN CELEBRITY CHEF
"Established in 1990, the James Beard Foundation Awards recognizes excellency in which of these fields?",CUISINE,,What 1960s Raquel Welch film was advertised with the slogan “Mankind’s First Bikini!”?,ONE MILLION YEARS B.C.,,Who is Dr. Egon Spendler?`,HARRY RAMIS IN “GHOSTBUSTERS”
"Established in 1996,an emergency response bulletin issued upon the suspected abduction of a child is known as a what?",AMBER ALERT,,What 2009 big screen comedy features Betty White as a wacky grandmother?,THE PROPOSAL,,Who is Laurence Tureaud?,MR. T
Estro-Logic is the name of an herb supplement that markets itself towards what demographic?,MENOPAUSAL WOMEN,,What 2009 hit single by Shakira has a Spanish version called “Loba”?,SHE WOLF,,Who is Mario Lavandeira?,GOSSIP BLOGGER PEREZ HILTON
Eva Longoria once sadly noted that the only bilingual cartoon character of her youth was who?,SPEEDY GONZALES,,What 2009 hit song heavily samples a 1985 song by the band “Dead or Alive”?,RIGHT ROUND,,Who is Marshal Bruce Mathers III?,RAP STAR EMINEM
"Even though he is a famous teetotaler,which of these celebrities launched his own brand of vodka in 2006?",DONALD TRUMP,,What 2010 movie prominently features a mythical beast called a kraken?,CLASH OF THE TITANS,,Who is Marshall Bruce Mathers III?,RAP STAR EMINEM
"Even though he is a fish,StarKist’s “hipster” mascot Charlie the Tuna is usually depicted wearing what?",RED BERET AND GLASSES,,What 2011 documentary follows a late night comic on a cross country tour after being fired from NBC?,CONAN O’BRIEN CAN’T STOP,,Who is Michael Buble?,GRAMMY-WINNING SINGER
"Even though he’s deceased,what actor has appeared on every Harris Poll for America’s Favorite Actor since 1994?",JOHN WAYNE,,What 2011 superhero movie was marketed in Russia using only its subtitle “The First Avenger”?,CAPTAIN AMERICA,,Who is Reginald Dwight?,ELTON JOHN
"Every January,college football’s Sugar Bowl takes place in what U.S. city?",NEW ORLEANS,,What 60s TV show peppered its fight scenes with words such as “kapow” or “biff” flashed onto the screen?,BATMAN,,Who is Rick Rubin?,MUSIC PRODUCER
Every year McDonald’s offers its popular Shamrock Shake for a limited time during what month?,MARCH,,What 70s song invariably compels dancers to spell out each letter of the song with their bodies?,YMCA,,Who is Rick Rubin?,MUSIC PRODUCER
"Every year on March 31st,California observes Cesar Chavez Day to honor the birth of a famous what?",LABOR LEADER,,"What actor delivers the oft-misquoted line, That dirty, double-crossing rat” in the 1931 film “Blonde Crazy”?",JAMES CAGNEY,,Who is the only person currently featured on the front of U.S. paper currency whose portrait faces the observer’s left?,ALEXANDER HAMILTON
Evite is a popular website for people planning to do what?,THROW A PARTY,,What actor donned fake chest hair and a bald cap for a cameo in the 2008 comedy “Tropic Thunder”?,TOM CRUISE,,Who is the only person who has won Emmys for both Lead Actress in a Drama and Lead Actress in a Comedy?,EDIE FALCO
"Excluding the two-part series finale,what long-running sitcom’s episode titles all started with “The One…”?",FRIENDS,,"What actor established the Make It Right Foundation,which aims to build “green” housing in New Orleans?",BRAD PITT,,Who is the only U.S. president in history to serve two nonconsecutive terms?,GROVER CLEVELAND
Experts suggest rubbing your hands against stainless steel to chemically neutralize the smell of what household odor?,GARLIC,,What actor once blamed his career slump on a 1982 People magazine article that mistakenly referred to him as deceased?,ABE VIGODA,,Who is the youngest justice currently sitting on the U.S. Supreme Court?,ELENA KAGAN
"Explicitly taking on the iphone, in 2009 Motorola released a smartphone with which futuristic name?",DROID,,What actor plays the mustachioed slacker “Wooderson” in the 1993 indie film “Dazed and Confused”?,MATTHEW MCCONAUGHEY,,Who once referred to her parents’ love triangle as the Brad Pitt/JenniferAniston/Angelina Jolie of their day?,CARRIE FISHER
Exposure to sunlight would most likely help to cure a person suffering from which of these conditions?,SEASONAL AFFECTIVE DISORDER,,"What actor starred in a film version of Arthur Miller’s “The Crucible,” and then married Miller’s daughter Rebecca?",DANIEL DAY-LEWIS,,Who penned the 2008 memoir “Here’s the Story: Surviving Marcia Brady and Finding My True Voice”?,MAUREEN MCCORMICK
"Falafel,a popular Middle Eastern dish,is usually made by grinding and frying what?",CHICKPEAS,,What actor starred in the 1990s movies “Universal Soldier” and “Universal Soldier: The Return”?,JEAN CLAUDE-VAN DAMME,,Who was both the last U.S. president of the 19th century and the first U.S. president of the 20th century?,WILLIAM MCKINLEY
Famed Spanish shoe designer Manuel Blahnik is better known by what nickname?,MANOLO,,"What actor’s guest role on a Showtime series inspired the 2010 headline, “Close Encounters of the Weed Kind”?",RICHARD DREYFUSS,,Who was David Letterman’s first guest on NBC in 1982 and again on CBS in 1993?,BILL MURRAY
"Familiar to film buffs,Sunset Boulevard borders which of these prominent college campuses?",UCLA,,What actor’s mother reportedly named him after he kicked her in the womb while she was looking at a Da Vinci painting?,LEONARDO DICAPRIO,,Who was president of the Soviet Union when it formally dissolved in 1991?,MIKHAIL GORBACHEV
"Familiar to viewers of Fox football broadcasts, the computer-animated mascot “Cleatus” is a what?",ROBOT,,What actress and international sex symbol was the inspiration for the term “sex kitten”?,BRIGITTE BARDOT,,"Who was president when CNN debuted “Larry King Live,” which ended its 25-year run in 2010?",RONALD REAGAN
"Famous for his attempts to predict the future,16th-century physician Nostradamus hailed from what country?",FRANCE,,What actress stars as as ruthless litigator Patty Hewes in the TV drama “Damages”?,GLENN CLOSE,,Who was sworn in as a Supreme Court justice13 years after winning “Brown v. Board of Education”?,THURGOOD MARSHALL
"Famous for his deadpan line “Bueller…..Bueller,” Ben Stein is given what title in the credits for “Ferris Bueller’s Day Off”?",ECONOMICS TEACHER,,What actress was the subject of a 2011 NY Times piece titled “All About the Woman Behind Erica Kane”?,SUSAN LUCCI,,"Who wrote the famous poem that begins, “A thing of beauty is a joy forever”?",JOHN KEATS
"Famous for his namesake “curl”,how do you spell the nickname of hairdresser and chemist Robert Redding?",JHERI,,What ad mascot is often depicted wearing epaulets?,CAP’N CRUNCH,,"Whose famous World Series walk-off home run inspired Jack Buck’s classic line, “I don’t believe what I just saw”?",KIRK GIBSON
"Famous for its 18th-century architecture,the historic neighborhood “Society Hill” lies in what city?",PHILADELPHIA,,What adjective is often used to describe an unscrupulous political leader’s behavior?,MACHIAVELLIAN,,Whose NY Times obituary noted that “his fashion and portrait photographs helped define America’s image of style”?,RICHARD AVEDON
"Famous for playing a butcher, what eccentric actor has taken time off to work as a cobbler?",DANIEL DAY-LEWIS,,What adjective is used to describe animals that emit light?,BIOLUMINESCENT,,Whose work on sound recordings earned him a spot in the National Inventors Hall of Fame in 2004?,RAY DOLBY
"Famous for playing a butcher,what eccentric actor has taken time off to work as a cobbler?",DANIEL-DAY LEWIS,,What airline’s official emblem features a traditional Aztec warrior known as an “Eagle Knight”?,AEROMEXICO,,Why do old newspapers turn yellow?,BECAUSE OF OXIDATION
"Famous for playing sneering villains,which of these British actors appeared in his first-ever film role at the age of 42?",ALAN RICKMAN,,What American author is credited with popularizing the Spanish word “cojones” as a synonym for bravery?,ERNEST HEMINGWAY,,"Why is there a brass ring embedded in the middle of 8th Street in the town of Manitowoc,Wisconsin?",SPUTNIK CRASHED THERE
"Famous for the lifesaving maneuver named after him, Henry J. Heimlich was what type of doctor?",THORACIC SURGEON,,What animal appears on a pro-vegetarian PETA sticker that reads “I Am Not a Nugget”?,CHICKEN,,"Winner of seventeen James Beard awards, “Saveur” magazine primarily covers what topic?",CUISINE
"Famous in her own right, handbag designer Kate Spade has a famous brother-in-law named David, who is a what?",COMIC,,"What animal appears on the national coat of arms of the African nation Cote D’ lvoire,or Ivory Coast?",ELEPHANT,,"With 21 states,what letter is by far the most common one found at the end of the names of the U.S. states?",A *CORRECT*
"Famous siblings Rosanna,David,Patricia and Alexis are all Hollywood actors with what last name?",ARQUETTE,,What animal did Woody Allen once memorably describe as “a rat with wings”?,PIGEON,,"With a career that spans over fifty years,singer Joan Baez is known as “The Queen of” what?",FOLK
"Far lighter than lead, what electron-rich metal does Chevrolet use for the batteries in its Volt car?",LITHIUM,,What animalistic sound is sung throughout the 1978 Warren Zevon hit song “Werevolves of London”?,AHOOOOOO!,,"With a diet that includes gibbons and macaques, clouded leopards are native to what part of the world?",SOUTHEAST ASIA
Fashionistas often use cosmetics to achieve a common and coveted look known as “smoky” what?,EYES,,What animalistic sound is sung throughout the 1978 Warren Zevon hit “Werewolves of London”?,AHOOOOO!,,"With a traditional French manicure, a person’s nails receive which of these treatments?",WHITE POLISH AT THE TIPS
